City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
119,Merauke,ID,1599271798,-8.47,140.33,83.12,66,46,12.1
120,Bowen,AU,1599271799,-20.02,148.23,77.0,57,40,13.87
121,Carnarvon,AU,1599271553,-24.87,113.63,68.0,88,0,14.99
122,Kununurra,AU,1599271800,-15.77,128.73,87.8,33,0,8.05
123,Winnemucca,US,1599271800,40.97,-117.74,100.4,5,1,3.36
124,Bitung,ID,1599271678,1.45,125.18,89.6,55,20,3.36
125,Cervo,ES,1599271801,43.67,-7.41,66.99,1,53,8.99
126,Udachny,RU,1599271801,66.42,112.4,48.2,87,0,6.71
127,Bethel,US,1599271802,41.37,-73.41,64.99,77,1,3.36
128,Arraial do Cabo,BR,1599271548,-22.97,-42.03,73.4,88,40,16.11
129,Dikson,RU,1599271803,73.51,80.55,42.04,89,100,14.32
130,Buraidah,SA,1599271509,26.33,43.98,80.6,32,0,4.7
131,Bengkulu,ID,1599271593,-3.8,102.27,81.3,75,84,3.47
132,Saint-Leu,RE,1599271804,-21.15,55.28,64.4,88,90,8.05
133,Ribeira Grande,PT,1599271804,38.52,-28.7,70.56,76,8,22.97
134,Jacareacanga,BR,1599271804,-6.22,-57.75,77.95,54,0,0.67
135,Puerto Limón,CR,1599271805,10.0,-83.03,81.3,78,53,2.86
136,San Quintín,MX,1599271572,30.48,-115.95,74.01,73,0,9.26
137,Cabo San Lucas,MX,1599271511,22.89,-109.91,87.01,62,5,9.17
138,Bharatpur,IN,1599271806,27.22,77.48,84.88,68,44,4.68
139,Saskylakh,RU,1599271806,71.92,114.08,42.08,90,100,16.6
140,Naze,JP,1599271547,28.37,129.48,78.8,100,75,14.99
141,Srednekolymsk,RU,1599271807,67.45,153.68,52.79,44,0,8.97
142,Wuwei,CN,1599271807,37.93,102.64,72.66,29,100,7.25
143,Olinda,BR,1599271794,-8.01,-34.86,78.8,65,1,10.29
144,Ahipara,NZ,1599271808,-35.17,173.17,57.06,62,95,8.7
145,Acapulco de Juárez,MX,1599271571,16.86,-99.89,78.8,74,90,9.17
146,Cherskiy,RU,1599271808,68.75,161.3,46.83,55,37,6.29
147,Port Elizabeth,ZA,1599271809,-33.92,25.57,60.8,72,0,23.04
148,Coyhaique,CL,1599271593,-45.58,-72.07,37.4,74,54,3.36
149,Alta Floresta,BR,1599271809,-9.88,-56.09,77.65,30,17,2.77
150,Batagay-Alyta,RU,1599271811,67.8,130.41,54.52,62,98,2.24
151,Nhulunbuy,AU,1599271811,-12.23,136.77,86.0,58,75,14.99
152,Abu Kamal,SY,1599271811,34.45,40.92,84.27,15,0,7.83
153,Papetoai,PF,1599271812,-17.5,-149.87,84.2,62,40,14.99
154,Egvekinot,RU,1599271812,66.32,-179.17,41.4,67,29,0.04
155,Wexford,IE,1599271813,52.33,-6.46,54.0,85,3,1.99
156,Nālūt,LY,1599271813,30.33,10.85,76.59,53,2,13.13
157,Torbay,CA,1599271578,47.67,-52.73,64.99,93,75,17.22
158,Amapá,BR,1599271814,1.0,-52.0,75.0,76,8,3.96
159,Nanticoke,US,1599271815,41.21,-76.0,64.0,85,28,7.43
160,Hervey Bay,AU,1599271815,-25.3,152.85,78.01,58,92,4.0
161,Tutóia,BR,1599271815,-2.76,-42.27,78.94,81,2,11.65
162,Meulaboh,ID,1599271816,4.14,96.13,82.9,71,100,5.61
163,Saint-Philippe,RE,1599271558,-21.36,55.77,64.4,88,90,8.05
164,Atbasar,KZ,1599271816,51.8,68.33,46.63,74,97,5.99
165,Spas-Klepiki,RU,1599271817,55.13,40.18,57.0,46,100,8.01
166,Hokitika,NZ,1599271817,-42.72,170.97,57.22,83,100,5.1
167,Mpika,ZM,1599271817,-11.83,31.45,49.26,81,0,9.08
168,Beidao,CN,1599271818,34.57,105.89,72.45,63,100,2.64
169,San-Pédro,CI,1599271818,4.75,-6.64,74.8,90,100,7.31
170,Chiredzi,ZW,1599271818,-21.05,31.67,59.7,77,0,5.68
171,Karratha,AU,1599271819,-20.74,116.85,85.51,18,48,10.22
172,Sioux Lookout,CA,1599271819,50.1,-91.92,51.8,81,40,9.17
173,Ostrovnoy,RU,1599271819,68.05,39.51,56.16,87,63,18.57
174,Bibiani,GH,1599271820,6.46,-2.32,67.84,100,41,1.63
175,Sept-Îles,CA,1599271688,50.2,-66.38,53.6,71,40,8.28
176,Kaitangata,NZ,1599271821,-46.28,169.85,57.81,50,38,7.38
177,Conakry,GN,1599271821,9.54,-13.68,77.07,83,100,3.11
178,Isetskoye,RU,1599271821,56.49,65.32,43.86,94,99,7.11
179,Kodinsk,RU,1599271822,58.69,99.18,58.87,89,100,7.47
180,Nouakchott,MR,1599271822,18.09,-15.98,81.16,88,95,15.77
181,East London,ZA,1599271822,-33.02,27.91,64.44,75,5,17.87
182,Rawson,AR,1599271823,-43.3,-65.1,43.95,65,0,7.81
183,Barcelos,PT,1599271823,41.54,-8.62,63.0,100,90,3.04
184,Plouzané,FR,1599271823,48.38,-4.62,57.2,93,75,4.7
185,Luau,AO,1599271824,-10.71,22.22,66.24,36,80,3.47
186,Brigantine,US,1599271824,39.41,-74.36,79.0,83,75,4.7
187,San Fernando del Valle de Catamarca,AR,1599271655,-28.47,-65.79,64.29,35,0,15.26
